Local,Descricao
2767.0,Marg. Pinheiros (C. Branco - Interlagos) A mais 214m da R. Bento Frias
2771.0,Av. dos Bandeirantes (Marginal/Imigrantes) a mais 34m da Av. Washington Luis
2772.0,Av. dos Bandeirantes (Marginal/Imigrantes) a mais 34m da Av. Washington Luis
2773.0,Marginal do Rio Pinheiros (Castelo Branco/Interlagos) a mais 238m do Km 10
2775.0,Av. das Nações Unidas  Pista Local (Interlagos/Castelo Branco) a mais 140m da Av. dos Semaneiros
2777.0,Av. das Nações Unidas (Interlagos/Castelo Branco) a menos 18m da Av. Vitor Manzini
2779.0,Rod. Dos Imigrantes (Santos/São Paulo) a menos 1.200m. da R. Guaratu
2780.0,Rod. Dos Imigrantes (São Paulo/Santos) a menos 473m da R. Itaguara
2781.0,Marginal Pinheiros  Pista Expressa (Interlagos/Castelo Branco) a mais 103m do km 12
2783.0,Marginal Pinheiros  Pista Expressa (Castelo Branco/Interlagos) a mais 117m. km 13
2785.0,Marginal Pinheiros  Pista Expressa (Interlagos/Castelo Branco) a menos 15m. Ponte Eusébio Matoso
2787.0,"Av. Eng. Billings, a mais 22 m da Rua Barão de Antonina Centro/Bairro"
2791.0,"Av. das Nações Unidas, nº18001 Interlagos/Castelo Branco"
2793.0,"Av. das Nações Unidas, a mais 10 m da Rua Bragança Paulista Interlagos/C. Branco"
2796.0,"Rua Hungria, a menos 20 m da Av. Rebouças Interlagos/Castelo Branco"
2798.0,"Av. das Nações Unidas, nº 7203 Interlagos/Castelo Branco - nome alterado em 15/01/2019"
2802.0,"Av. Magalhães de Castro, a menos 55 m da Rua FranciscoTramontano Castelo Branco/Interlagos"
2809.0,"Av. das Nações Unidas - Pista Local, a mais 140m da Av. dos Semaneiros Interlagos/C. Branco"
2813.0,"Av. das Nações Unidas, nº 12399 Interlagos/Castelo Branco"
2816.0,"Av. das Nações Unidas - Pista Central , a menos 23m do Km 9,5 Interlagos/Castelo Branco"
2820.0,"Estrada do M'Boi Mirim, nº 1211 Bairro/Centro"
2821.0,"Estrada do M'Boi Mirim, nº 1211 Bairro/Centro"
2822.0,"Estrada do M'Boi Mirim, nº 2203 Bairro/Centro"
2823.0,"Estrada do M'Boi Mirim, nº 2203 Bairro/Centro"
2824.0,"Estrada do M'Boi Mirim, a mais 34 m do nº 1060 Centro/Bairro"
2825.0,"Estrada do M'Boi Mirim, a mais 34 m do nº 1060 Centro/Bairro"
2826.0,"Estrada do M'Boi Mirim, nº 2420 Centro/Bairro"
2827.0,"Estrada do M'Boi Mirim, nº 2420 Centro/Bairro"
2828.0,"Estrada do M'Boi Mirim, nº 3928 Centro/Bairro"
2829.0,"Estrada do M'Boi Mirim, nº 3928 Centro/Bairro"
2830.0,Estrada do M'Boi MIrim X Rua José Barros Magaldi Bairro/Centro
2831.0,"Av. das Nações Unidas, a menos 50 m do nº 20728 Castelo Branco/Interlagos"
2832.0,"Av. das Nações Unidas, a menos 50 m do nº 20728 Castelo Branco/Interlagos"
2834.0,"Av. Senador Teotônio Vilela, a menos 152 m do nº 3.481 Bairro/Centro"
2842.0,"Av. Senador Teotônio Vilela, nº 852 Centro/Bairro"
2843.0,"Av. Senador Teotônio Vilela, a mais 110 m da Rua Padre José Garzotti Bairro/Centro"
2844.0,"Av. Senador Teotônio Vilela, nº 5.960 Centro/Bairro"
2845.0,"Av. Senador Teotônio Vilela, nº 6.801 Bairro/Centro"
2849.0,"Av. Senador Teotônio Vilela, a menos 152 m do nº 3.481 Bairro/Centro"
2853.0,"Av. Senador Teotônio Vilela, nº 852 Centro/Bairro"
